2432;15;15;15;103;226
37544;15;15;15;15;15
36866;15;15;15;15;15
36867;14;14;14;14;14
37849;13;13;13;13;13
32848;12;12;12;12;12
38334;10;10;10;10;10
38422;10;10;10;10;10
38431;10;10;10;10;10
38331;9;9;9;9;9
33583;8;8;8;8;24
37921;8;8;8;8;8
32938;7;7;7;8;8
29623;6;6;6;6;12
33718;6;6;6;6;6
37793;5;5;5;5;5
33281;4;4;4;4;4
36849;30;59;85;89;89
34559;30;59;84;113;140
6661;30;59;85;153;177
28329;30;59;85;156;200
28080;30;59;85;148;247
28210;30;59;85;174;210
25900;30;59;85;174;230
35976;30;59;85;174;214
34521;30;59;85;174;215
34484;30;59;71;71;71
36377;30;59;85;163;163
36380;30;59;85;174;192
36709;30;59;85;92;92
37071;30;59;85;123;123
36927;30;59;85;150;150
36623;30;59;85;174;206
36621;30;59;85;174;246
36624;30;59;85;120;120
36631;30;59;85;174;187
36628;30;59;85;104;115
7489;30;59;85;174;297
37398;30;59;80;80;80
37399;30;59;82;82;82
37391;30;59;85;90;90
2784;30;59;85;174;297
2786;30;59;85;174;297
2787;30;59;85;174;297
2376;30;59;85;174;297
2847;30;59;85;174;297
2378;30;59;85;174;297
28109;30;59;85;147;244
28093;30;59;85;125;126
29560;30;59;85;131;185
34447;30;59;85;173;217
29728;30;59;85;142;186
36291;30;59;85;174;210
36292;30;59;85;160;160
37167;30;59;85;93;93
34382;30;59;85;156;242
37333;30;59;85;90;90
37196;30;59;85;92;92
35671;30;59;81;134;151
29554;30;59;85;160;178
29556;30;59;85;169;211
33004;30;59;85;160;160
33474;30;59;85;114;121
6660;29;58;84;173;220
28497;27;56;82;108;161
6639;30;53;53;53;53
28036;30;36;36;36;36
28068;30;36;36;36;36
35666;7;24;42;89;115
32826;7;17;43;132;255
36884;4;7;33;33;33
37126;6;6;6;6;6
2072;6;6;6;15;24
33264;6;6;6;33;33
37266;5;5;5;5;5
36479;4;4;4;30;112
33235;4;4;4;4;8
38494;4;4;4;4;4
38496;4;4;4;4;4
36348;3;3;22;111;166
37586;3;3;3;3;3
37268;3;3;3;3;3
28154;30;59;85;99;99
28067;2;5;5;34;140
36807;2;2;21;110;146
24920;2;20;21;54;85
12001;17;42;50;86;112
34590;14;37;38;95;153
1572;2;5;14;14;25
36943;2;26;52;98;98
2395;12;15;15;15;21
37030;10;13;30;68;68
36851;2;2;2;2;2
33382;17;17;17;17;23
37379;2;2;2;2;2
36277;2;2;2;2;2
3066;2;2;2;2;17
36812;20;20;20;20;20
38425;2;2;2;2;2
32872;1;1;7;12;23
1637;1;1;1;13;36
9340;1;1;1;1;1
35503;1;1;1;1;1
27885;2;2;2;2;2
28038;0;0;0;0;3
28216;0;0;0;0;0
28232;0;0;0;0;0
31096;0;0;0;12;17
27938;0;0;0;6;6
28215;0;0;0;26;26
28035;0;0;0;0;0
28287;0;0;0;19;63
19712;0;0;0;0;1
26083;0;8;8;8;17
27884;0;0;0;0;0
